fsa,total_private_dwellings,occupied_by_type_total,single_detached,semi_detached,row_house,apt_duplex,apt_lt5,apt_5plus,other_single_attached,movable,median_income
G6W,12252,11840,4455,1100,320,650,5215,50,15,40,76500
G6X,4796,4625,1630,495,125,300,2055,0,15,15,68500
G6Y,3071,2995,1465,355,55,50,810,125,0,130,98000
G6Z,9564,9390,7035,505,125,235,1390,0,15,85,104000
G7A,10423,10145,6575,780,180,215,1395,650,10,340,104000
G7B,8450,8075,3885,525,125,1455,1880,5,10,185,70500
G7G,7383,7170,4265,585,160,755,1375,5,20,0,76000
G7H,15376,14395,5240,980,380,1575,5320,780,60,60,60400
G7J,7388,7080,2845,660,260,1185,1930,155,45,0,65500
G7K,381,375,175,40,0,40,30,0,0,90,76000
G7N,2739,2630,1960,200,10,210,175,0,0,70,96000
G7P,3278,3095,2370,125,50,175,215,0,10,155,82000
G7S,8818,8550,4810,1115,245,755,1610,0,5,0,82000
G7T,720,705,185,265,90,55,105,0,0,0,97000
G7X,13829,12830,5290,550,175,2445,4190,100,65,10,57600
G7Y,300,290,180,15,0,60,35,0,0,0,81000
G7Z,1094,1080,840,85,60,55,25,0,5,0,90000
G8A,2845,2710,1515,120,10,365,695,5,5,0,68000
G8B,10927,10360,4965,565,210,1655,2815,25,120,15,62000
G8C,1888,1870,1025,435,40,45,295,0,5,25,93000
G8E,1665,1575,1145,70,0,195,115,5,5,30,77000
G8G,2075,1810,1220,95,30,200,235,0,10,15,69500
G8H,4946,4615,2520,240,60,465,1135,0,45,150,62800
G8J,2529,1885,1420,65,10,100,200,0,15,80,69500
G8K,5169,4690,3105,155,30,345,860,0,35,155,67000
G8L,7227,6520,4015,305,65,615,1325,10,80,105,62800
G8M,2369,2250,1835,35,25,155,180,0,20,0,71000
G8N,1263,1085,845,50,0,70,100,0,0,10,69500
G8P,3590,3225,1645,145,55,125,710,0,5,530,85000
G8T,14646,14025,5925,525,75,2195,4965,225,95,25,52000
G8V,4242,4165,2965,325,20,70,690,0,5,85,89000
G8W,4962,4785,3145,185,80,35,1325,0,20,0,77000
G8Y,16364,15795,7535,1120,845,200,5555,530,10,0,68000
G8Z,7785,6980,1205,75,30,1420,4015,220,15,0,47600
G9A,12524,11510,1565,750,260,770,7905,140,110,0,42800
G9B,8252,7960,4985,945,320,205,1375,0,40,80,87000
G9C,1636,1600,530,825,165,15,65,0,0,0,97000
G9H,6345,6035,4135,245,170,175,1240,0,30,30,75000
G9N,9676,8700,2725,180,125,925,4620,5,110,0,44400
G9P,5881,5625,3075,245,40,580,1555,0,90,40,61600
G9R,1058,990,850,45,0,30,60,0,5,0,83000
G9T,8679,8005,4305,190,55,845,2490,5,85,35,54000
G9X,6133,5260,3060,115,75,805,1135,0,50,20,60400
H1A,14941,14530,3465,1100,1860,530,7260,305,10,5,73000
H1B,9718,9445,1945,615,570,1015,4790,440,60,5,65000
